date,away,home,away_score,home_score,away_ml,home_ml,spread,o/u
909,RICE,TEXAS-EL-PASO,31,14,100,-120,1.5,55
909,ALABAMA-BIRMINGHAM,BALL-STATE,31,51,384,-500,13,52
909,MIDDLE-TENNESSEE-STATE,SYRACUSE,30,23,260,-320,8,72
909,INDIANA,VIRGINIA,34,17,-166,146,-3.5,56
909,PITTSBURGH,PENN-STATE,14,33,755,-1200,18.5,64
909,TULANE,NAVY,21,23,263,-325,8,49
909,WESTERN-KENTUCKY,ILLINOIS,7,20,-205,172,-4.5,51
909,TEXAS-SAN-ANTONIO,BAYLOR,17,10,324,-410,11,56
909,TEXAS-CHRISTIAN,ARKANSAS,28,7,-140,120,-2.5,56
909,LOUISIANA-LAFAYETTE,TULSA,42,66,431,-575,14,59
909,MARSHALL,NORTH-CAROLINA-STATE,20,37,963,-1750,21,55
909,TOLEDO,NEVADA,37,24,-350,281,-11,69
909,SOUTH-CAROLINA,MISSOURI,31,13,115,-135,2.5,71
909,NORTH-TEXAS,SOUTHERN-METHODIST,32,54,310,-390,11.5,64
909,AUBURN,CLEMSON,6,14,195,-235,6,57
909,GEORGIA,NOTRE-DAME,20,19,176,-210,5.5,57
909,MISSISSIPPI-STATE,LOUISIANA-TECH,57,21,-360,289,-10,66
909,OKLAHOMA,OHIO-STATE,31,16,241,-295,8,64
909,STANFORD,SOUTHERN-CALIFORNIA,24,42,160,-180,3.5,55
909,MINNESOTA,OREGON-STATE,48,14,105,-125,2,51
909,SAN-DIEGO-STATE,ARIZONA-STATE,30,20,125,-145,3,53
909,UTAH,BRIGHAM-YOUNG,19,13,-215,180,-5.5,46
909,HOUSTON,ARIZONA,19,16,-120,100,-1.5,64
909,BOISE-STATE,WASHINGTON-STATE,44,47,245,-300,7,58
914,NEW-MEXICO,BOISE-STATE,14,28,688,-1050,17,55
915,MASSACHUSETTS,TEMPLE,21,29,477,-650,14.5,51
915,ILLINOIS,SOUTH-FLORIDA,23,47,489,-670,16.5,53
915,ARIZONA,TEXAS-EL-PASO,63,16,-1800,980,-27,57
916,KENTUCKY,SOUTH-CAROLINA,23,13,184,-220,5.5,47
916,KENT-STATE,MARSHALL,0,21,400,-525,14,49
916,NOTRE-DAME,BOSTON-COLLEGE,49,20,-510,391,-14,54
916,CONNECTICUT,VIRGINIA,18,38,367,-475,12.5,51
916,AIR-FORCE,MICHIGAN,13,29,1363,-2450,23,52
916,COASTAL-CAROLINA,ALABAMA-BIRMINGHAM,23,30,-105,-115,0,53
916,CINCINNATI,MIAMI-OH,21,17,140,-160,3.5,49
916,IOWA-STATE,AKRON,41,14,-320,260,-9.5,62
916,NORTH-CAROLINA,OLD-DOMINION,53,23,-415,327,-11,56
916,OKLAHOMA-STATE,PITTSBURGH,59,21,-385,306,-10.5,67
916,MIDDLE-TENNESSEE-STATE,MINNESOTA,3,34,447,-600,14,50
916,UCLA,MEMPHIS,45,48,-165,145,-3.5,71
916,NORTHERN-ILLINOIS,NEBRASKA,21,17,311,-393,10.5,56
916,BAYLOR,DUKE,20,34,281,-350,10,61
916,KANSAS,OHIO,30,42,226,-275,7,59
916,UTAH-STATE,WAKE-FOREST,10,46,517,-720,14.5,50
916,CLEMSON,LOUISVILLE,47,21,-165,145,-3.5,61
916,CENTRAL-MICHIGAN,SYRACUSE,17,41,252,-310,8,66
916,VIRGINIA-TECH,EAST-CAROLINA,64,17,-2000,1041,-26,60
916,WISCONSIN,BRIGHAM-YOUNG,40,6,-600,447,-14,43
916,PURDUE,MISSOURI,35,3,170,-200,4.5,75
916,NORTH-TEXAS,IOWA,14,31,733,-1150,19.5,51
916,LOUISIANA-LAFAYETTE,TEXAS-AM,21,45,1203,-2000,24,62
916,BOWLING-GREEN-STATE,NORTHWESTERN,7,49,1041,-2000,21,57
916,TENNESSEE,FLORIDA,20,26,222,-270,6.5,50
916,SOUTHERN-METHODIST,TEXAS-CHRISTIAN,36,56,1041,-2000,22,65
916,LOUISIANA-TECH,WESTERN-KENTUCKY,23,22,163,-190,4,61
916,OREGON-STATE,WASHINGTON-STATE,23,52,614,-900,17.5,65
916,APPALACHIAN-STATE,TEXAS-STATE,20,13,-1500,991,-21.5,49
916,TULSA,TOLEDO,51,54,230,-280,7,73
916,SOUTHERN-MISSISSIPPI,LOUISIANA-MONROE,28,17,-280,230,-7,54
916,OREGON,WYOMING,49,13,-525,400,-13.5,66
916,LOUISIANA-STATE,MISSISSIPPI-STATE,7,37,-320,260,-8.5,53
916,KANSAS-STATE,VANDERBILT,7,14,-187,162,-4,48
916,RICE,HOUSTON,3,38,1014,-1550,23,53
916,TROY,NEW-MEXICO-STATE,27,24,-350,281,-9.5,60
916,ARIZONA-STATE,TEXAS-TECH,45,52,207,-250,6.5,73
916,TEXAS,SOUTHERN-CALIFORNIA,24,27,614,-900,17,66
916,MISSISSIPPI,CALIFORNIA,16,27,-290,237,-7,68
916,STANFORD,SAN-DIEGO-STATE,17,20,-305,249,-8,47
921,TEMPLE,SOUTH-FLORIDA,7,43,688,-1050,18,61
922,VIRGINIA,BOISE-STATE,42,23,447,-600,14,50
922,UTAH,ARIZONA,30,24,-200,170,-4.5,60
923,WAKE-FOREST,APPALACHIAN-STATE,20,19,-240,190,-5.5,48
923,DUKE,NORTH-CAROLINA,27,17,115,-135,2,61
923,MICHIGAN,PURDUE,28,10,-550,400,-13.5,51
923,PITTSBURGH,GEORGIA-TECH,17,35,230,-280,7.5,55
923,PENN-STATE,IOWA,21,19,-600,425,-13,54
923,BOSTON-COLLEGE,CLEMSON,7,34,6000,-15000,33,53
923,NORTH-CAROLINA-STATE,FLORIDA-STATE,27,21,360,-450,11,50
923,MISSISSIPPI-STATE,GEORGIA,3,31,125,-145,2.5,50
